,tool,sampID,repType,cpu,ram,utime
0,hisat2,ERR009308,g,1.1167,4.359488,1.049598
1,hisat2,ERR009308,rc,1.3111,4.359488,1.230937
2,hisat2,ERR009308,sh1,0.9677,4.359488,0.913906
3,hisat2,ERR009308,sh2,0.9211,4.359488,0.872478
4,hisat2,ERR009308,sh3,1.123,4.359488,1.042094
5,hisat2,ERR009308,both1,1.4059,4.359488,1.294722
6,hisat2,ERR009308,both2,1.3222,4.359488,1.244704
7,hisat2,ERR009308,both3,1.0634,4.359488,1.020286
8,hisat2,ERR009309,g,0.8847,4.359488,0.787948
9,hisat2,ERR009309,rc,1.1454,4.359488,1.003224
10,hisat2,ERR009309,sh1,0.7435,4.359488,0.709944
11,hisat2,ERR009309,sh2,0.8965,4.367648,0.817469
12,hisat2,ERR009309,sh3,0.6779,4.359488,0.611391
13,hisat2,ERR009309,both1,1.3248,4.359488,1.092008
14,hisat2,ERR009309,both2,0.6879,4.359488,0.638666
15,hisat2,ERR009309,both3,0.6734,4.359488,0.628035
16,hisat2,ERR009332,g,0.7887,4.359488,0.764211
17,hisat2,ERR009332,rc,0.5566,4.359488,0.547747
18,hisat2,ERR009332,sh1,0.6075,4.359488,0.582287
19,hisat2,ERR009332,sh2,0.5677,4.359488,0.551779
20,hisat2,ERR009332,sh3,0.7255,4.359488,0.652873
21,hisat2,ERR009332,both1,0.6276,4.359488,0.612304
22,hisat2,ERR009332,both2,0.6415,4.359488,0.62247
23,hisat2,ERR009332,both3,0.6323,4.359488,0.617504
24,hisat2,ERR009345,g,0.6412,4.359488,0.614395
25,hisat2,ERR009345,rc,1.3898,4.359488,1.334291
26,hisat2,ERR009345,sh1,0.9497,4.359488,0.898088
27,hisat2,ERR009345,sh2,0.9246,4.359488,0.88888
28,hisat2,ERR009345,sh3,0.948,4.359488,0.901892
29,hisat2,ERR009345,both1,1.1619,4.359488,1.093439
30,hisat2,ERR009345,both2,1.1054,4.359488,1.055008
31,hisat2,ERR009345,both3,1.1227,4.359488,1.079114
32,hisat2,ERR013101,g,0.4748,4.359488,0.444615
33,hisat2,ERR013101,rc,0.5629,4.359488,0.533767
34,hisat2,ERR013101,sh1,0.6677,4.359488,0.59964
35,hisat2,ERR013101,sh2,0.4749,4.359488,0.445085
36,hisat2,ERR013101,sh3,0.4362,4.359488,0.421992
37,hisat2,ERR013101,both1,0.5615,4.359488,0.536167
38,hisat2,ERR013101,both2,0.5603,4.359488,0.537809
39,hisat2,ERR013101,both3,0.5601,4.359488,0.524926
0,subread,ERR009308,g,0.6954,4.359488,0.661612
1,subread,ERR009308,rc,0.8889,7.863872,0.791567
2,subread,ERR009308,sh1,0.7057,7.848896,0.673529
3,subread,ERR009308,sh2,0.8309,7.848896,0.780244
4,subread,ERR009308,sh3,0.7919,7.863872,0.756424
5,subread,ERR009308,both1,0.8252,7.863872,0.790051
6,subread,ERR009308,both2,0.6098,7.863872,0.595325
7,subread,ERR009308,both3,0.6243,7.848896,0.604179
8,subread,ERR009309,g,0.6718,7.863872,0.629003
9,subread,ERR009309,rc,0.6542,7.837696,0.626837
10,subread,ERR009309,sh1,0.5773,7.826944,0.558588
11,subread,ERR009309,sh2,0.6902,7.837696,0.652209
12,subread,ERR009309,sh3,0.6973,7.837696,0.658374
13,subread,ERR009309,both1,0.6627,7.837696,0.631431
14,subread,ERR009309,both2,0.6799,7.826944,0.648416
15,subread,ERR009309,both3,0.596,7.837696,0.574462
16,subread,ERR009332,g,0.6878,7.837696,0.656629
17,subread,ERR009332,rc,0.6905,7.837696,0.656032
18,subread,ERR009332,sh1,0.7195,7.837696,0.665004
19,subread,ERR009332,sh2,0.7191,7.837696,0.649684
20,subread,ERR009332,sh3,0.6875,7.826944,0.656944
21,subread,ERR009332,both1,0.6444,7.837696,0.616437
22,subread,ERR009332,both2,0.6865,7.837696,0.637994
23,subread,ERR009332,both3,0.7377,7.826944,0.684946
24,subread,ERR009345,g,1.0755,7.826944,0.996784
25,subread,ERR009345,rc,1.1375,7.936,1.070781
26,subread,ERR009345,sh1,1.1099,7.936,1.016653
27,subread,ERR009345,sh2,1.0985,7.938048,1.024639
28,subread,ERR009345,sh3,1.1956,7.936,1.052395
29,subread,ERR009345,both1,0.8184,7.938048,0.788649
30,subread,ERR009345,both2,1.0204,7.936,0.955901
31,subread,ERR009345,both3,1.1439,7.936,1.050078
32,subread,ERR013101,g,0.6529,7.86624,0.589779
33,subread,ERR013101,rc,0.5934,7.83872,0.554216
34,subread,ERR013101,sh1,0.5385,7.84,0.518062
35,subread,ERR013101,sh2,0.6026,7.83872,0.561352
36,subread,ERR013101,sh3,0.5883,7.84,0.558234
37,subread,ERR013101,both1,0.6201,7.84,0.583381
38,subread,ERR013101,both2,0.5117,7.84,0.492615
39,subread,ERR013101,both3,0.6122,7.83872,0.566742
0,bowtie2,ERR009308,g,2.8946,7.83872,2.84508
1,bowtie2,ERR009308,rc,4.8544,3.46624,4.62229
2,bowtie2,ERR009308,sh1,4.9981,3.361888,4.52474
3,bowtie2,ERR009308,sh2,4.5836,3.361888,4.19878
4,bowtie2,ERR009308,sh3,4.9559,3.361888,4.50995
5,bowtie2,ERR009308,both1,4.7648,3.361888,4.60251
6,bowtie2,ERR009308,both2,4.6346,3.361888,4.46178
7,bowtie2,ERR009308,both3,4.1753,3.361888,4.10298
8,bowtie2,ERR009309,g,2.4639,3.361888,2.41452
9,bowtie2,ERR009309,rc,3.2964,3.361888,3.18809
10,bowtie2,ERR009309,sh1,2.3419,3.361888,2.27737
11,bowtie2,ERR009309,sh2,2.4003,3.361888,2.33548
12,bowtie2,ERR009309,sh3,2.5785,3.361888,2.45619
13,bowtie2,ERR009309,both1,3.8179,3.361888,3.50217
14,bowtie2,ERR009309,both2,3.5067,3.361888,3.36064
15,bowtie2,ERR009309,both3,4.4452,3.361888,4.37327
16,bowtie2,ERR009332,g,2.7485,3.361888,2.64506
17,bowtie2,ERR009332,rc,5.0984,3.361888,3.73414
18,bowtie2,ERR009332,sh1,2.6613,3.466752,2.61846
19,bowtie2,ERR009332,sh2,2.8755,3.361888,2.6757
20,bowtie2,ERR009332,sh3,2.7855,3.361888,2.69336
21,bowtie2,ERR009332,both1,4.3236,3.361888,3.85904
22,bowtie2,ERR009332,both2,4.1025,3.361888,3.82903
23,bowtie2,ERR009332,both3,4.0625,3.361888,3.77011
24,bowtie2,ERR009345,g,4.2497,3.361888,4.03839
25,bowtie2,ERR009345,rc,4.2497,3.361888,4.03839
26,bowtie2,ERR009345,sh1,4.2566,3.361888,4.10741
27,bowtie2,ERR009345,sh2,5.4507,3.46624,5.32343
28,bowtie2,ERR009345,sh3,4.1947,3.464192,4.0912
29,bowtie2,ERR009345,both1,6.1681,3.464192,5.85722
30,bowtie2,ERR009345,both2,6.6487,3.361888,6.38329
31,bowtie2,ERR009345,both3,6.6657,3.361888,6.12011
32,bowtie2,ERR013101,g,2.5927,3.361888,2.52506
33,bowtie2,ERR013101,rc,3.4148,3.361888,3.15948
34,bowtie2,ERR013101,sh1,2.5499,3.361888,2.50254
35,bowtie2,ERR013101,sh2,2.9182,3.361888,2.81996
36,bowtie2,ERR013101,sh3,2.8144,3.47136,2.73453
37,bowtie2,ERR013101,both1,3.6432,3.476608,3.35297
38,bowtie2,ERR013101,both2,3.5434,3.361888,3.30772
39,bowtie2,ERR013101,both3,3.0845,3.361888,3.00457
0,snap ,ERR009308,g,1.6303,3.365632,1.61005
1,snap ,ERR009308,rc,1.6002,45.687904,1.57914
2,snap ,ERR009308,sh1,1.6068,45.59552,1.59063
3,snap ,ERR009308,sh2,1.5904,45.698752,1.57924
4,snap ,ERR009308,sh3,1.3983,45.661568,1.36419
5,snap ,ERR009308,both1,1.6104,45.677312,1.59696
6,snap ,ERR009308,both2,1.6029,45.664,1.5832
7,snap ,ERR009308,both3,1.6292,45.788928,1.61252
8,snap ,ERR009309,g,1.7473,45.782464,1.73532
9,snap ,ERR009309,rc,1.6298,45.775296,1.61278
10,snap ,ERR009309,sh1,1.6828,45.784512,1.67304
11,snap ,ERR009309,sh2,1.7368,45.780416,1.71939
12,snap ,ERR009309,sh3,1.5267,45.780416,1.5098
13,snap ,ERR009309,both1,1.6769,45.783488,1.6647
14,snap ,ERR009309,both2,1.6675,45.777344,1.6459
15,snap ,ERR009309,both3,1.5979,45.78144,1.58403
16,snap ,ERR009332,g,1.8549,45.7952,1.83743
17,snap ,ERR009332,rc,1.7402,45.787136,1.72211
18,snap ,ERR009332,sh1,1.8732,45.821184,1.85256
19,snap ,ERR009332,sh2,1.8466,45.791488,1.82881
20,snap ,ERR009332,sh3,1.8599,45.793536,1.83951
21,snap ,ERR009332,both1,1.5422,45.787136,1.5295
22,snap ,ERR009332,both2,1.5444,45.793536,1.53277
23,snap ,ERR009332,both3,1.5333,45.783296,1.51656
24,snap ,ERR009345,g,1.5751,42.108674,1.5487
25,snap ,ERR009345,rc,1.366,39.091712,1.3453
26,snap ,ERR009345,sh1,1.4843,42.119648,1.46645
27,snap ,ERR009345,sh2,1.4024,39.113216,1.38237
28,snap ,ERR009345,sh3,1.4351,46.83008,1.37447
29,snap ,ERR009345,both1,1.8001,39.091712,1.56758
30,snap ,ERR009345,both2,1.3774,39.151616,1.35047
31,snap ,ERR009345,both3,1.805,39.087872,1.57389
32,snap ,ERR013101,g,0.8135,45.777344,0.79737
33,snap ,ERR013101,rc,0.8007,45.775296,0.78563
34,snap ,ERR013101,sh1,0.7552,45.78144,0.74344
35,snap ,ERR013101,sh2,0.8058,45.772544,0.78901
36,snap ,ERR013101,sh3,0.8176,45.7792,0.80021
37,snap ,ERR013101,both1,0.7816,45.77408,0.7692
38,snap ,ERR013101,both2,0.788,45.772544,0.77196
39,snap ,ERR013101,both3,0.7768,45.7792,0.76536
0,minimap2,ERR009308,g,1.0424,12.231424,0.92055
1,minimap2,ERR009308,rc,1.5789,12.231424,1.42755
2,minimap2,ERR009308,sh1,1.3595,12.231424,1.20129
3,minimap2,ERR009308,sh2,0.9745,12.231424,0.85423
4,minimap2,ERR009308,sh3,2.05,12.231424,1.87438
5,minimap2,ERR009308,both1,1.496,12.231424,1.39943
6,minimap2,ERR009308,both2,1.55,12.231424,1.43233
7,minimap2,ERR009308,both3,0.8508,12.231424,0.7576
8,minimap2,ERR009309,g,1.5984,12.231424,1.42346
9,minimap2,ERR009309,rc,0.8943,12.231424,0.78806
10,minimap2,ERR009309,sh1,1.0354,12.231424,0.95035
11,minimap2,ERR009309,sh2,1.0576,12.231424,0.96041
12,minimap2,ERR009309,sh3,1.2952,12.231424,1.18104
13,minimap2,ERR009309,both1,1.2715,12.435456,1.16426
14,minimap2,ERR009309,both2,1.2678,12.435456,1.16245
15,minimap2,ERR009309,both3,0.9275,12.231424,0.83383
16,minimap2,ERR009332,g,0.8616,12.231424,0.79154
17,minimap2,ERR009332,rc,0.907,12.292608,0.82102
18,minimap2,ERR009332,sh1,0.947,12.231424,0.82963
19,minimap2,ERR009332,sh2,1.3926,12.231424,1.27347
20,minimap2,ERR009332,sh3,1.4235,12.231424,1.27948
21,minimap2,ERR009332,both1,1.4044,12.231424,1.27755
22,minimap2,ERR009332,both2,1.3354,12.231424,1.18546
23,minimap2,ERR009332,both3,1.3582,12.231424,1.2023
24,minimap2,ERR009345,g,1.3942,12.231424,1.2196
25,minimap2,ERR009345,rc,1.3252,12.231424,1.19319
26,minimap2,ERR009345,sh1,2.1385,12.231424,1.96178
27,minimap2,ERR009345,sh2,2.1386,12.231424,1.95003
28,minimap2,ERR009345,sh3,2.1387,12.231424,1.94455
29,minimap2,ERR009345,both1,1.4078,12.231424,1.26574
30,minimap2,ERR009345,both2,1.935,12.060672,1.81445
31,minimap2,ERR009345,both3,0.703,12.231424,0.64702
32,minimap2,ERR013101,g,1.1351,12.060672,1.03342
33,minimap2,ERR013101,rc,0.7679,12.060672,0.68022
34,minimap2,ERR013101,sh1,0.7545,12.060672,0.67328
35,minimap2,ERR013101,sh2,0.7807,12.231424,0.68395
36,minimap2,ERR013101,sh3,1.1825,12.231424,1.06292
37,minimap2,ERR013101,both1,1.4084,12.232448,1.29941
38,minimap2,ERR013101,both2,1.1444,12.231424,1.04046
39,minimap2,ERR013101,both3,0.9298,6.448128,0.84055
0,ngm,ERR009308,g,3.041,6.448128,3.04268
1,ngm,ERR009308,rc,3.054,6.448128,3.08275
2,ngm,ERR009308,sh1,2.905,6.448128,2.90514
3,ngm,ERR009308,sh2,2.955,6.448128,2.95419
4,ngm,ERR009308,sh3,3.109,6.448128,3.1089
5,ngm,ERR009308,both1,3.354,6.448128,3.35442
6,ngm,ERR009308,both2,3.536,6.448128,3.53606
7,ngm,ERR009308,both3,3.073,6.448128,3.07346
8,ngm,ERR009309,g,2.38,6.448128,2.38009
9,ngm,ERR009309,rc,2.463,6.448128,2.62951
10,ngm,ERR009309,sh1,1.912,6.448128,1.91247
11,ngm,ERR009309,sh2,2.484,6.448128,2.4832
12,ngm,ERR009309,sh3,2.737,6.448128,2.73669
13,ngm,ERR009309,both1,2.246,6.448128,2.24654
14,ngm,ERR009309,both2,2.182,6.448128,2.18254
15,ngm,ERR009309,both3,2.468,6.448128,2.46803
16,ngm,ERR009332,g,2.094,6.448128,2.09456
17,ngm,ERR009332,rc,2.682,6.448128,2.68283
18,ngm,ERR009332,sh1,2.104,6.448128,2.10325
19,ngm,ERR009332,sh2,2.648,6.448128,2.64867
20,ngm,ERR009332,sh3,3.11,6.448128,3.11054
21,ngm,ERR009332,both1,2.351,6.448128,2.35119
22,ngm,ERR009332,both2,2.667,6.448128,2.66749
23,ngm,ERR009332,both3,2.518,6.448128,2.52492
24,ngm,ERR009345,g,3.106,6.448128,3.10669
25,ngm,ERR009345,rc,3.134,6.448128,3.13425
26,ngm,ERR009345,sh1,3.148,6.448128,3.14752
27,ngm,ERR009345,sh2,3.227,6.448128,3.22747
28,ngm,ERR009345,sh3,2.758,6.448128,2.75839
29,ngm,ERR009345,both1,3.262,6.448128,3.26265
30,ngm,ERR009345,both2,3.028,6.448128,3.02893
31,ngm,ERR009345,both3,3.421,6.448128,3.42193
32,ngm,ERR013101,g,1.998,6.448128,1.99753
33,ngm,ERR013101,rc,2.081,6.448128,2.08108
34,ngm,ERR013101,sh1,1.977,6.448128,1.97684
35,ngm,ERR013101,sh2,2.08,6.448128,2.08036
36,ngm,ERR013101,sh3,2.301,6.448128,2.30116
37,ngm,ERR013101,both1,1.624,6.448128,1.62456
38,ngm,ERR013101,both2,2.047,6.448128,2.04753
39,ngm,ERR013101,both3,1.627,6.448128,1.62725
0,bwa2,ERR009308,g,2.816,18.46912,2.4052
1,bwa2,ERR009308,rc,2.545,18.54464,2.1783
2,bwa2,ERR009308,sh1,2.435,18.46912,2.136
3,bwa2,ERR009308,sh2,2.926,18.449152,2.5054
4,bwa2,ERR009308,sh3,3.114,18.54464,2.587
5,bwa2,ERR009308,both1,3.081,18.54464,2.5265
6,bwa2,ERR009308,both2,2.896,18.54464,2.3883
7,bwa2,ERR009308,both3,2.877,18.633472,2.3884
8,bwa2,ERR009309,g,2.475,18.468096,2.123
9,bwa2,ERR009309,rc,2.427,18.544192,2.0593
10,bwa2,ERR009309,sh1,2.573,18.449152,2.1793
11,bwa2,ERR009309,sh2,2.48,18.449152,2.1161
12,bwa2,ERR009309,sh3,2.529,18.449152,2.1298
13,bwa2,ERR009309,both1,2.348,18.544192,2.0066
14,bwa2,ERR009309,both2,2.404,18.311552,2.05
15,bwa2,ERR009309,both3,2.436,18.54464,2.0704
16,bwa2,ERR009332,g,2.64,18.544192,2.2564
17,bwa2,ERR009332,rc,2.508,18.54464,2.1384
18,bwa2,ERR009332,sh1,2.658,18.46912,2.2735
19,bwa2,ERR009332,sh2,2.63,18.623488,2.2537
20,bwa2,ERR009332,sh3,2.635,18.449152,2.2565
21,bwa2,ERR009332,both1,3.265,18.544192,2.8234
22,bwa2,ERR009332,both2,3.124,18.623488,2.7167
23,bwa2,ERR009332,both3,3.281,18.255488,2.7865
24,bwa2,ERR009345,g,3.741,18.449152,3.2032
25,bwa2,ERR009345,rc,3.59,18.692608,3.0905
26,bwa2,ERR009345,sh1,3.692,18.49664,3.1277
27,bwa2,ERR009345,sh2,3.733,18.54464,3.2195
28,bwa2,ERR009345,sh3,3.703,18.449152,3.1671
29,bwa2,ERR009345,both1,3.602,18.399744,3.1061
30,bwa2,ERR009345,both2,3.526,18.449152,3.0267
31,bwa2,ERR009345,both3,3.927,18.54464,3.3166
32,bwa2,ERR013101,g,1.69,18.399744,1.4316
33,bwa2,ERR013101,rc,2.092,18.399744,1.7832
34,bwa2,ERR013101,sh1,2.111,18.54464,1.8108
35,bwa2,ERR013101,sh2,2.057,18.399744,1.7596
36,bwa2,ERR013101,sh3,2.026,18.399744,1.736
37,bwa2,ERR013101,both1,2.138,18.399744,1.8122
38,bwa2,ERR013101,both2,2.064,18.350336,1.7691
39,bwa2,ERR013101,both3,2.112,18.424448,1.7843
0,smalt,ERR009308,g,2.25,3.776256,2.1804
1,smalt,ERR009308,rc,2.13,3.776256,2.0365
2,smalt,ERR009308,sh1,2.011,3.776256,1.892
3,smalt,ERR009308,sh2,2.03,3.776256,1.9615
4,smalt,ERR009308,sh3,1.372,3.776256,1.3408
5,smalt,ERR009308,both1,1.425,3.776256,1.3837
6,smalt,ERR009308,both2,1.958,3.776256,1.9094
7,smalt,ERR009308,both3,2.03,3.776256,1.9464
8,smalt,ERR009309,g,1.724,3.775232,1.679
9,smalt,ERR009309,rc,1.786,3.775232,1.7266
10,smalt,ERR009309,sh1,1.273,3.775232,1.2333
11,smalt,ERR009309,sh2,1.725,3.775232,1.6754
12,smalt,ERR009309,sh3,1.75,3.775232,1.6804
13,smalt,ERR009309,both1,1.31,3.775232,1.2617
14,smalt,ERR009309,both2,1.263,3.775232,1.2285
15,smalt,ERR009309,both3,1.228,3.775232,1.1892
16,smalt,ERR009332,g,1.33,3.775232,1.3021
17,smalt,ERR009332,rc,1.915,3.775232,1.8555
18,smalt,ERR009332,sh1,1.846,3.775232,1.7954
19,smalt,ERR009332,sh2,1.396,3.775232,1.3504
20,smalt,ERR009332,sh3,1.331,3.775232,1.2943
21,smalt,ERR009332,both1,1.919,3.775232,1.8324
22,smalt,ERR009332,both2,1.339,3.775232,1.3025
23,smalt,ERR009332,both3,1.374,3.775232,1.3364
24,smalt,ERR009345,g,2.267,3.776256,2.1966
25,smalt,ERR009345,rc,2.283,3.776256,2.2049
26,smalt,ERR009345,sh1,1.721,3.776256,1.6719
27,smalt,ERR009345,sh2,2.38,3.776256,2.286
28,smalt,ERR009345,sh3,1.727,3.776256,1.6735
29,smalt,ERR009345,both1,2.292,3.776256,2.2374
30,smalt,ERR009345,both2,2.333,3.776256,2.2676
31,smalt,ERR009345,both3,1.674,3.776256,1.6293
32,smalt,ERR013101,g,1.641,3.77728,1.5964
33,smalt,ERR013101,rc,1.685,3.77728,1.6185
34,smalt,ERR013101,sh1,1.8,3.776256,1.7488
35,smalt,ERR013101,sh2,1.608,3.776256,1.5299
36,smalt,ERR013101,sh3,1.804,3.776256,1.7544
37,smalt,ERR013101,both1,1.918,3.776256,1.8683
38,smalt,ERR013101,both2,1.809,3.776256,1.7606
39,smalt,ERR013101,both3,1.809,3.776256,1.7606
0,bwa-meme,ERR009308,g,1.3958,123.855,1.182444
1,bwa-meme,ERR009308,rc,1.5052,123.855,1.238469
2,bwa-meme,ERR009308,sh1,1.4864,123.855,1.224803
3,bwa-meme,ERR009308,sh2,1.5159,123.855,1.219491
4,bwa-meme,ERR009308,sh3,1.537,123.855,1.267087
5,bwa-meme,ERR009308,both1,2.0307,123.918,1.682378
6,bwa-meme,ERR009308,both2,2.1165,123.918,1.759833
7,bwa-meme,ERR009308,both3,2.1052,123.918,1.731038
8,bwa-meme,ERR009309,g,2.023,123.918,1.686966
9,bwa-meme,ERR009309,rc,1.8337,123.918,1.593815
10,bwa-meme,ERR009309,sh1,1.7969,123.918,1.549531
11,bwa-meme,ERR009309,sh2,1.7888,123.918,1.518861
12,bwa-meme,ERR009309,sh3,1.8303,123.918,1.535177
13,bwa-meme,ERR009309,both1,1.9201,123.918,1.57885
14,bwa-meme,ERR009309,both2,1.8554,123.918,1.557616
15,bwa-meme,ERR009309,both3,1.9038,123.918,1.608417
16,bwa-meme,ERR009332,g,1.8965,123.918,1.588233
17,bwa-meme,ERR009332,rc,2.1047,123.918,1.688028
18,bwa-meme,ERR009332,sh1,1.9386,123.918,1.621666
19,bwa-meme,ERR009332,sh2,1.8815,123.918,1.607006
20,bwa-meme,ERR009332,sh3,1.9562,123.855,1.629723
21,bwa-meme,ERR009332,both1,1.7956,123.855,1.549275
22,bwa-meme,ERR009332,both2,1.8697,123.855,1.589048
23,bwa-meme,ERR009332,both3,1.9482,123.855,1.63255
24,bwa-meme,ERR009345,g,1.8894,123.855,1.588751
25,bwa-meme,ERR009345,rc,1.3066,123.855,1.139193
26,bwa-meme,ERR009345,sh1,1.3621,123.855,1.177836
27,bwa-meme,ERR009345,sh2,1.3456,123.855,1.16642
28,bwa-meme,ERR009345,sh3,2.0969,123.918,1.730761
29,bwa-meme,ERR009345,both1,2.0788,123.918,1.701314
30,bwa-meme,ERR009345,both2,1.9613,123.918,1.650828
31,bwa-meme,ERR009345,both3,1.8523,123.918,1.538746
32,bwa-meme,ERR013101,g,1.8876,123.918,1.563906
33,bwa-meme,ERR013101,rc,1.8388,123.918,1.541538
34,bwa-meme,ERR013101,sh1,1.8825,123.855,1.60363
35,bwa-meme,ERR013101,sh2,2.0277,123.855,1.65075
36,bwa-meme,ERR013101,sh3,1.9291,123.855,1.612539
37,bwa-meme,ERR013101,both1,1.8477,123.918,1.580073
38,bwa-meme,ERR013101,both2,2.0003,123.918,1.634989
39,bwa-meme,ERR013101,both3,1.9614,123.918,1.639786
